,HotelName,Address,Originalprice,Amountpayable,Discount,Facilities,Ratings,Reviews,Roomquality,Location
46,OYO 76128 Hotel Star Inn,"Near AXIS bank, Sakore Nagar, Pune·       7.1 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  Power backup  + 11 more,2.4,393.0,Fair,pune
47,Flagship 85723 Felicita Nx,"Kharadi, Pune·       8.5 km",3674.5,1063.0,71.0, Reception  Power backup  Bedside Table / Desk  + 12 more,2.9,251.0,Fair,pune
48,OYO 27640 Hotel Blue Sapphire Residency,"Near The Crescent Business Park, Sakinaka, Mumbai·       2.5 km",5532.0,1549.0,72.0, Reception  Free Wi-Fi  Card payment  + 10 more,3.9,1642.0,Good,mumbai
49,OYO 5661 Hotel Ak Palace,"On main street, Near Asalpha Metro Station, Sainaka, Mumbai·       2.9 km",4509.0,1263.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 5 more,3.3,585.0,Fair,mumbai
50,OYO 8678 Hotel Golden Nest,"Near Bajsons Industries, Andheri East, Mumbai·       4.3 km",4305.0,1206.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 6 more,3.6,872.0,Good,mumbai
51,OYO 9849 Hotel Divine Residency,"Near Chirag Nagar Police Station, LBS Marg, Mumbai·       2.8 km",9402.0,2633.0,72.0, Parking facility  Elevator  Free Wi-Fi  + 8 more,4.7,984.0,Excellent,mumbai
52,OYO 4083 Hotel Alfa Grand,"Near Asalpha Metro Station, Andheri East, Mumbai·       2.8 km",4737.0,1326.0,72.0, Free Wi-Fi  Geyser  AC  + 7 more,3.2,429.0,Fair,mumbai
53,OYO 7407 Hotel Blue Sea,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai·       2.9 km",4112.0,1152.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 7 more,3.2,2580.0,Fair,mumbai
54,OYO 40902 Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai·       3.7 km",3815.0,1068.0,72.0, Reception  Free Wi-Fi  Geyser  + 8 more,3.2,428.0,Fair,mumbai
55,OYO 5352 Hotel Airport Metro,"Andheri East, Mumbai·       4.0 km",6782.0,2374.0,65.0, Hair Dryer  Free Wi-Fi  Garden/Backyard  + 17 more,3.4,1084.0,Fair,mumbai
56,OYO 5665 Rana Residency,"Tolany Naka, Sher-e-Punjab Colony, Mumbai·       6.1 km",4595.0,1287.0,71.0, Parking facility  Electric Kettle  Free Wi-Fi  + 8 more,3.1,1271.0,Fair,mumbai
58,OYO 79035 Flagship Hotel Kalpana Elite,"Kalpana Cinema LBS Marg Kurla west L ward Zone 5 Mumbai Surburban Maharashtra , Mumbai·       0.2 km",6297.0,1763.0,72.0, AC  TV ,3.3,94.0,Fair,mumbai
59,OYO 69614 Hotel Diamond,"Near BKC palace inn, MMRDA Area, Mumbai·       1.0 km",6948.0,1946.0,71.0, Reception  Free Wi-Fi  CCTV cameras  + 5 more,3.6,413.0,Good,mumbai
60,OYO 8181 Druv's Taj Palace,"Near Asalpha Metro Station, Dhumai Estate, Mumbai·       2.9 km",6109.0,1711.0,71.0, Free Wi-Fi  CCTV cameras  AC  + 8 more,3.1,872.0,Fair,mumbai
61,"OYO Townhouse 058 JB Nagar, Andheri East","Near Bombay Cambridge School, Andheri East, Mumbai·       3.7 km",11768.0,3295.0,72.0, Parking facility  Reception  Free Wi-Fi  + 10 more,4.2,662.0,Very Good,mumbai
62,OYO 19156 Hotel Greenforest,"Near Axis Bank, Customs Colony, Mumbai·       5.4 km",4851.0,1358.0,72.0, Parking facility  Free Wi-Fi  Card payment  + 12 more,3.9,828.0,Good,mumbai
63,OYO 8685 Hotel Stayland,"Near Near Khar Socials, Mumbai·       4.4 km",6621.0,1854.0,72.0, Free Wi-Fi  Geyser  CCTV cameras  + 6 more,3.4,267.0,Fair,mumbai
64,OYO 11720 Gold Coast Inn,"Near Jankidevi Public School Road, Varsova, Mumbai·       9.3 km",6325.0,1771.0,72.0, Parking facility  Free Wi-Fi  Geyser  + 8 more,3.7,509.0,Good,mumbai
